,ºÐ·ù,¸íÄª,À§µµ,°æµµ
158,CCTV,¿ª»ïµ¿ 698-3,37.50654,127.04376599999999
159,CCTV,¿ª»ïµ¿ 693-6,37.507203000000004,127.044003
160,CCTV,¿ª»ïµ¿ 753-5,37.495158,127.033732
161,CCTV,¿ª»ïµ¿ 778-20,37.495556,127.043779
162,CCTV,¿ª»ïµ¿ 653-3 (ÀÚ¹Ì¿Â ÁÖº¯),37.508425,127.038432
163,CCTV,¿ª»ïµ¿ 751-14 (Why.J.ºôµù ÁÖº¯),37.494654,127.035076
164,CCTV,¿ª»ïµ¿ 834-53,37.493961999999996,127.03491499999998
165,CCTV,¿ª»ïµ¿ 796-30,37.493210999999995,127.039474
166,CCTV,¿ª»ïµ¿ 837-13,37.491811,127.031696
167,CCTV,¿ª»ïµ¿ 836-26,37.492278999999996,127.03325
168,CCTV,¿ª»ïµ¿ 796-29 (¼­ÇØ´õºí·ç ÁÖÂ÷ÀåÀÔ±¸),37.493114,127.038799
169,CCTV,¿ª»ïµ¿ 778,37.495831,127.04263700000001
170,CCTV,¿ª»ïµ¿ 765-15,37.496175,127.051116
171,CCTV,¿ª»ïµ¿ 791-12 (ãô°¥ºñ»ç¶û ¾Õ),37.494213,127.03797
172,CCTV,¿ª»ïµ¿ 636-25,37.500895,127.0312
173,CCTV,¿ª»ïµ¿ 644-6,37.501578,127.03431699999999
174,CCTV,¿ª»ïµ¿ 650-5 (ÁÖÂ÷Àå ¿ìÃø),37.506821,127.03530900000001
175,CCTV,¿ª»ïµ¿ 674-10,37.504123,127.040201
176,CCTV,¿ª»ïµ¿ 686-17,37.508119,127.041789
177,CCTV,¿ª»ïµ¿ 744-4 (Áß¿øºô¶ó ºÎ±Ù),37.496565000000004,127.03562
178,CCTV,¿ª»ïµ¿ 794-28,37.491875,127.03735800000001
179,CCTV,¿ª»ïµ¿ 716-2 (SKºä »ó°¡¾Õ »ç°Å¸®),37.500370000000004,127.05013600000001
180,CCTV,¿ª»ïµ¿ 728-45 (Çö´ëÀÌ½ºÆ®ºô),37.498651,127.041203
181,CCTV,¿ª»ïµ¿ 760-7 (Çö´ëÆ®¶ó¿ò A),37.496452000000005,127.047578
182,CCTV,¿ª»ïµ¿ 761-26,37.495864000000005,127.04713799999999
183,CCTV,¿ª»ïµ¿ 832-40 (¿ª»ïÃÊ ´ãÀå),37.493006,127.03208400000001
184,CCTV,¿ª»ïµ¿ 815 (°­³²CGV ¾Õ ´ë·Îº¯),37.501151,127.02631299999999
185,CCTV,¿ª»ïµ¿ 835-68,37.492987,127.03568500000002
186,CCTV,¿ª»ïµ¿ 786-10,37.494091999999995,127.04424399999999
187,CCTV,¿ª»ïµ¿ 826-37 (½Ö¿ëÇÃ·¡Æ¼³Ñ¹ë·ù ÁÖº¯),37.495215,127.03088500000001
188,CCTV,¿ª»ïµ¿ 665-1,37.504611,127.038297
189,CCTV,¿ª»ïµ¿ 793-1 (·Ôµ¥Ä³½½³ëºí¾ÆÆÄÆ® Á¤¹® ÁÖº¯),37.493051,127.035839
190,CCTV,¿ª»ïµ¿ 783-21 (°­³²¼¼ºê¶õ½ºº´¿ø ±³¼ö¿¬±¸µ¿ ÁÖº¯),37.494442,127.04470400000001
191,CCTV,¿ª»ïµ¿ 811,37.503784,127.02642900000001
192,CCTV,¿ª»ïµ¿ 640-19,37.502572,127.034699
193,CCTV,¿ª»ïµ¿ 795-15,37.492863,127.037976
194,CCTV,¿ª»ïµ¿ 661-28,37.506609000000005,127.039247
195,CCTV,¿ª»ïµ¿ 746-4,37.497122999999995,127.037599
196,CCTV,¿ª»ïµ¿ 633-16,37.501976,127.031567
197,CCTV,¿ª»ïµ¿ 625-15,37.503729,127.031644
198,CCTV,¿ª»ïµ¿ 635-13,37.499808,127.029481
