,ºÐ·ù,¸íÄª,À§µµ,°æµµ
153,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïÀºÅ¾Á¡,37.4990718,127.0331883
154,ÆíÀÇÁ¡,CU ¿ª»ï´Þ»ùÁ¡,37.5018542,127.0328001
155,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì °­¼­KC´ëÇÐ±³Á¡,37.4985674,127.0364728
156,ÆíÀÇÁ¡,GS25 ¿ª»ï³Ø½ººôÁ¡,37.501905,127.0443538
157,ÆíÀÇÁ¡,GS25 ¿ª»ïÄÚµðÁ¡,37.5010428,127.0341745
158,ÆíÀÇÁ¡,½ºÅä¸®¿þÀÌ,37.504479,127.048941
159,ÆíÀÇÁ¡,GS25 ¿ª»ï¿µµ¿Á¡,37.5067811,127.0354443
160,ÆíÀÇÁ¡,GS25 ¼±¸ª³Ø½¼Á¡,37.5066208,127.0472194
161,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì °­³²¾ðÁÖ·ÎÁ¡,37.50737,127.0438145
162,ÆíÀÇÁ¡,GS25 ¿ª»ï¾Æ¶÷Á¡,37.49357699999999,127.0414007
163,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì °­³²IBCÁ¡,37.4997517,127.031107
164,ÆíÀÇÁ¡,CU ¿ª»ï¿ì¸®Á¡,37.4959576,127.0373104
165,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¸£³×»ó½ºÁ¡,37.5031143,127.040374
166,ÆíÀÇÁ¡,CU ¿ª»ï¼¾Å¸Á¡,37.4958914,127.0338416
167,ÆíÀÇÁ¡,GS25 ¿ª»ïÇà¿îÁ¡,37.496328,127.0344433
168,ÆíÀÇÁ¡,GS25 °­³²»ó·ÏÈ¸°üÁ¡,37.5048633,127.0439301
169,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï·¡¹Ì¾ÈÁ¡,37.4958588,127.0464594
170,ÆíÀÇÁ¡,CU ¿ª»ï¿¡½º¿øÁ¡,37.5062083,127.0379507
171,ÆíÀÇÁ¡,¹Ì´Ï½ºÅé ¿ª»ïÅÂ±¤Á¡,37.5010846,127.0403049
172,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 ¿ª»ïÇª¸£Áö¿ÀÁ¡,37.498056,127.0338646
173,ÆíÀÇÁ¡,CU ¼±¸ªµð¿ÀºôÁ¡,37.5033944,127.0478146
174,ÆíÀÇÁ¡,CU ¿ª»ïÁöÇýÁ¡,37.5002744,127.0325502
175,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïÇØÇÇÁ¡,37.5071893,127.0368834
176,ÆíÀÇÁ¡,GS25 ¿ª»ï¸ñÈ­Á¡,37.5088941,127.0427601
177,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïÄÚ³ÚÁ¡,37.5038775,127.0395962
178,ÆíÀÇÁ¡,GS25 ¿ª»ï°ÅºÏÁ¡,37.5037266,127.0363318
179,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï¸í¶ûÁ¡,37.5134667,127.030637
