,LINK_NO,RDS_MAN_NO,RN,RN_CD,SP,EP,LUX
1435,LINK_1435,523,테헤란로25길,4166726,"[37.501315730090376, 127.03517294194424]","[37.50165032413525, 127.03533335364584]",81.151
1436,LINK_1436,523,테헤란로25길,4166726,"[37.50165032413525, 127.03533335364584]","[37.501905821180785, 127.0354558452622]",106.965
1437,LINK_1437,523,테헤란로25길,4166726,"[37.501905821180785, 127.0354558452622]","[37.502378043779416, 127.03523444335468]",56.794
1438,LINK_1438,523,테헤란로25길,4166726,"[37.502378043779416, 127.03523444335468]","[37.50273535533644, 127.03506690998644]",56.794
1439,LINK_1439,523,테헤란로25길,4166726,"[37.50273535533644, 127.03506690998644]","[37.50279153104727, 127.03504057316441]",85.191
1440,LINK_1440,523,테헤란로25길,4166726,"[37.50279153104727, 127.03504057316441]","[37.50322118401261, 127.03483913075495]",56.794
1441,LINK_1441,523,테헤란로25길,4166726,"[37.50322118401261, 127.03483913075495]","[37.503725151689885, 127.03460282926856]",24.357
1442,LINK_1442,523,테헤란로25길,4166726,"[37.503725151689885, 127.03460282926856]","[37.504486991023896, 127.03424562543779]",56.794
1443,LINK_1443,1073,테헤란로25길,4166726,"[37.50165032413525, 127.03533335364584]","[37.501752620365906, 127.03499638757616]",106.965
1444,LINK_1444,1073,테헤란로25길,4166726,"[37.501752620365906, 127.03499638757616]","[37.501671717425324, 127.0343301763056]",85.191
1445,LINK_1445,1536,테헤란로25길,4166726,"[37.50099514992515, 127.03531627559653]","[37.50123367212296, 127.03609172068188]",0.0
1446,LINK_1446,1536,테헤란로25길,4166726,"[37.50123367212296, 127.03609172068188]","[37.50198610921878, 127.03573671089954]",50.171
1447,LINK_1447,1627,테헤란로25길,4166726,"[37.501315730090376, 127.03517294194424]","[37.5013981719736, 127.0348852533112]",81.151
1448,LINK_1448,1627,테헤란로25길,4166726,"[37.5013981719736, 127.0348852533112]","[37.50114000797507, 127.03476056933269]",137.945
1449,LINK_1449,1627,테헤란로25길,4166726,"[37.50114000797507, 127.03476056933269]","[37.50110538290398, 127.03475949093294]",135.362
1450,LINK_1450,1627,테헤란로25길,4166726,"[37.50110538290398, 127.03475949093294]","[37.50099493330713, 127.03480992543469]",159.719
1451,LINK_1451,552,테헤란로26길,4166727,"[37.50042404095458, 127.03560541379929]","[37.499783506397954, 127.03593535198596]",24.357
1452,LINK_1452,552,테헤란로26길,4166727,"[37.499783506397954, 127.03593535198596]","[37.4992888916781, 127.03619012626456]",28.397
1453,LINK_1453,524,테헤란로27길,4166728,"[37.501257471505035, 127.03840213860313]","[37.501678213256774, 127.03819157743999]",24.357
1454,LINK_1454,524,테헤란로27길,4166728,"[37.501678213256774, 127.03819157743999]","[37.501995296735906, 127.038032883911]",24.357
1455,LINK_1455,524,테헤란로27길,4166728,"[37.501995296735906, 127.038032883911]","[37.50231370465468, 127.03787353374834]",50.171
1456,LINK_1456,524,테헤란로27길,4166728,"[37.50231370465468, 127.03787353374834]","[37.50261932521615, 127.03772057710435]",71.945
1457,LINK_1457,524,테헤란로27길,4166728,"[37.50261932521615, 127.03772057710435]","[37.50295309431631, 127.03756248700978]",102.925
1458,LINK_1458,524,테헤란로27길,4166728,"[37.50295309431631, 127.03756248700978]","[37.503264695438105, 127.03741490260559]",56.794
1459,LINK_1459,524,테헤란로27길,4166728,"[37.503264695438105, 127.03741490260559]","[37.50358248710592, 127.03726437948082]",28.397
1460,LINK_1460,524,테헤란로27길,4166728,"[37.50358248710592, 127.03726437948082]","[37.50389737693947, 127.03711522214785]",139.05899999999997
1461,LINK_1461,524,테헤란로27길,4166728,"[37.50389737693947, 127.03711522214785]","[37.50516212469172, 127.03651616245456]",81.151
1462,LINK_1462,983,테헤란로27길,4166728,"[37.50358248710592, 127.03726437948082]","[37.503787326518136, 127.03795094890846]",139.05899999999997
1463,LINK_1463,984,테헤란로27길,4166728,"[37.503264695438105, 127.03741490260559]","[37.50348753879348, 127.03809222723235]",28.397
1464,LINK_1464,985,테헤란로27길,4166728,"[37.50295309431631, 127.03756248700978]","[37.50317388210941, 127.03824126715857]",56.794
1465,LINK_1465,1115,테헤란로27길,4166728,"[37.501995296735906, 127.038032883911]","[37.502224517627006, 127.0387325942938]",50.171
1466,LINK_1466,1115,테헤란로27길,4166728,"[37.502224517627006, 127.0387325942938]","[37.50244788360421, 127.03941444870476]",50.171
1467,LINK_1467,553,테헤란로28길,4166729,"[37.501257471505035, 127.03840213860313]","[37.500850200877316, 127.03860760371114]",24.357
1468,LINK_1468,553,테헤란로28길,4166729,"[37.500850200877316, 127.03860760371114]","[37.500485031225416, 127.03879182671548]",0.0
1469,LINK_1469,553,테헤란로28길,4166729,"[37.500485031225416, 127.03879182671548]","[37.5001201586406, 127.03897590105991]",0.0
1470,LINK_1470,553,테헤란로28길,4166729,"[37.5001201586406, 127.03897590105991]","[37.5000720953156, 127.03893182896047]",24.357
1471,LINK_1471,553,테헤란로28길,4166729,"[37.5000720953156, 127.03893182896047]","[37.49918315281601, 127.0393533147839]",24.357
1472,LINK_1472,553,테헤란로28길,4166729,"[37.49918315281601, 127.0393533147839]","[37.49828940771801, 127.03977059267844]",0.0
1473,LINK_1473,553,테헤란로28길,4166729,"[37.49828940771801, 127.03977059267844]","[37.497570174714994, 127.0401076941722]",24.357
1474,LINK_1474,968,테헤란로28길,4166729,"[37.500850200877316, 127.03860760371114]","[37.501285834955695, 127.0400118507708]",0.0
1475,LINK_1475,1717,테헤란로29길,4166730,"[37.501487840150716, 127.03911242911495]","[37.501907792161106, 127.0388958996628]",0.0
1476,LINK_1476,1717,테헤란로29길,4166730,"[37.501907792161106, 127.0388958996628]","[37.502224517627006, 127.0387325942938]",0.0
1477,LINK_1477,1717,테헤란로29길,4166730,"[37.502224517627006, 127.0387325942938]","[37.50254074722016, 127.03856954741407]",50.171
1478,LINK_1478,543,테헤란로2길,4166731,"[37.49827948396252, 127.0286881605486]","[37.49788863354232, 127.02887055027328]",0.0
1479,LINK_1479,543,테헤란로2길,4166731,"[37.49788863354232, 127.02887055027328]","[37.49780474473672, 127.02881768618069]",43.548
1480,LINK_1480,543,테헤란로2길,4166731,"[37.49780474473672, 127.02881768618069]","[37.496609580449245, 127.02938749772541]",115.493
1481,LINK_1481,543,테헤란로2길,4166731,"[37.496609580449245, 127.02938749772541]","[37.495715102095744, 127.02981393770337]",78.568
1482,LINK_1482,543,테헤란로2길,4166731,"[37.495715102095744, 127.02981393770337]","[37.49497545874183, 127.03016655091386]",28.397
1483,LINK_1483,767,테헤란로30길,4166732,"[37.50025727215908, 127.03940118451881]","[37.499327570351696, 127.03983958553222]",0.0
1484,LINK_1484,767,테헤란로30길,4166732,"[37.499327570351696, 127.03983958553222]","[37.49843496708768, 127.0402591207498]",24.357
1485,LINK_1485,767,테헤란로30길,4166732,"[37.49843496708768, 127.0402591207498]","[37.497717246272956, 127.0405965695634]",0.0
1486,LINK_1486,767,테헤란로30길,4166732,"[37.497717246272956, 127.0405965695634]","[37.497448562531865, 127.04072289234419]",24.357
1487,LINK_1487,768,테헤란로32길,4166733,"[37.500413340079724, 127.03988530828128]","[37.4994737775869, 127.04032976061191]",0.0
1488,LINK_1488,768,테헤란로32길,4166733,"[37.4994737775869, 127.04032976061191]","[37.498580281621045, 127.04074627093307]",0.0
1489,LINK_1489,768,테헤란로32길,4166733,"[37.498580281621045, 127.04074627093307]","[37.49767172490662, 127.04117306543723]",24.357
